Tabla,Columna,Tipo,Largo,Obligatorio,Único,Default
ApiKeys,tenant_id,Var Char,40,Sí,No,
ApiKeys,name,Var Char,255,Sí,No,
ApiKeys,key_hash,Var Char,64,Sí,Sí,
ApiKeys,key_prefix,Var Char,12,Sí,No,
ApiKeys,permissions,Text,2000,Sí,No,
ApiKeys,rate_limit_per_min,Int,,Sí,No,60
ApiKeys,expires_at,DateTime,,No,No,
ApiKeys,revoked_at,DateTime,,No,No,
ApiKeys,last_used_at,DateTime,,No,No,
ApiKeys,created_at,DateTime,,Sí,No,
JobProfileDrafts,tenant_id,Var Char,40,No,No,
JobProfileDrafts,meeting_id,Var Char,80,No,No,
JobProfileDrafts,booking_id,Var Char,80,No,No,
JobProfileDrafts,client_email,Var Char,255,No,No,
JobProfileDrafts,client_name,Var Char,255,No,No,
JobProfileDrafts,client_company,Var Char,255,No,No,
JobProfileDrafts,draft_payload,Text,32000,Sí,No,
JobProfileDrafts,transcript,Text,50000,No,No,
JobProfileDrafts,transcript_source,Var Char,30,No,No,
JobProfileDrafts,highlights,Text,4000,No,No,
JobProfileDrafts,status,Var Char,30,Sí,No,draft_generated
JobProfileDrafts,version,Int,,Sí,No,1
JobProfileDrafts,job_id,Var Char,40,No,No,
JobProfileDrafts,created_at,DateTime,,Sí,No,
JobProfileDrafts,updated_at,DateTime,,Sí,No,
ClientReports,tenant_id,Var Char,50,Sí,No,
ClientReports,job_id,Var Char,50,Sí,No,
ClientReports,cache_key,Var Char,64,Sí,Sí,
ClientReports,bundle_payload,Text,,Sí,No,
ClientReports,status,Var Char,20,Sí,No,active
ClientReports,opened_count,Int,,Sí,No,0
ClientReports,last_opened_at,DateTime,,No,No,
ClientReports,generated_at,DateTime,,Sí,No,
ClientReports,expires_at,DateTime,,Sí,No,
ReportCandidates,report_id,Var Char,40,Sí,No,
ReportCandidates,application_id,Var Char,40,Sí,No,
ReportCandidates,sort_order,Int,,Sí,No,
ReportCandidates,created_at,DateTime,,Sí,No,
TokenUsage,tenant_id,Var Char,40,Sí,No,
TokenUsage,model,Var Char,50,Sí,No,
TokenUsage,operation,Var Char,50,Sí,No,
TokenUsage,input_tokens,Int,,Sí,No,0
TokenUsage,output_tokens,Int,,Sí,No,0
TokenUsage,cache_read_tokens,Int,,Sí,No,0
TokenUsage,cost_usd,Var Char,20,No,No,
TokenUsage,trace_id,Var Char,40,No,No,
TokenUsage,created_at,DateTime,,Sí,No,
Config,tenant_id,Var Char,50,No,No,
Config,config_key,Var Char,80,Sí,No,
Config,value,Text,,Sí,No,
Config,value_type,Var Char,20,Sí,No,string
Config,description,Var Char,255,No,No,
Config,updated_by,Var Char,100,No,No,
Config,updated_at,DateTime,,Sí,No,
TechLibrary,topic,Var Char,200,Sí,No,
TechLibrary,level,Var Char,20,Sí,No,
TechLibrary,prompt_template,Text,4000,Sí,No,
TechLibrary,questions_cache,Text,32000,No,No,
TechLibrary,locale,Var Char,5,Sí,No,es
TechLibrary,created_at,DateTime,,Sí,No,
TechLibrary,updated_at,DateTime,,Sí,No,
Notifications,tenant_id,Var Char,40,Sí,No,
Notifications,type,Var Char,30,Sí,No,
Notifications,message,Text,,Sí,No,
Notifications,resource_type,Var Char,50,No,No,
Notifications,resource_id,Var Char,40,No,No,
Notifications,link,Text,,No,No,
Notifications,is_read,Boolean,,Sí,No,false
Notifications,read_at,DateTime,,No,No,
Notifications,created_at,DateTime,,Sí,No,
AntiCheatEvents,result_id,Var Char,40,Sí,No,
AntiCheatEvents,phase,Var Char,30,Sí,No,
AntiCheatEvents,event_type,Var Char,50,Sí,No,
AntiCheatEvents,question_id,Var Char,40,No,No,
AntiCheatEvents,duration_ms,Int,,No,No,
AntiCheatEvents,created_at,DateTime,,Sí,No,
PrefilterQuestions,job_id,Var Char,40,Sí,No,
PrefilterQuestions,question_text,Text,1000,Sí,No,
PrefilterQuestions,type,Var Char,20,Sí,No,
PrefilterQuestions,options,Text,2000,No,No,
PrefilterQuestions,expected_answer,Text,500,No,No,
PrefilterQuestions,is_disqualifier,Boolean,,Sí,No,false
PrefilterQuestions,order_index,Int,,Sí,No,0
PrefilterQuestions,created_at,DateTime,,Sí,No,
PrefilterAnswers,result_id,Var Char,40,Sí,No,
PrefilterAnswers,question_id,Var Char,40,Sí,No,
PrefilterAnswers,answer_value,Text,1000,Sí,No,
PrefilterAnswers,is_match,Boolean,,Sí,No,
PrefilterAnswers,created_at,DateTime,,Sí,No,
MarketingLeads,email,Var Char,255,Sí,Sí,
MarketingLeads,contact_name,Var Char,255,No,No,
MarketingLeads,company,Var Char,255,No,No,
MarketingLeads,whatsapp,Var Char,50,No,No,
MarketingLeads,quiz_data,Text,4000,Sí,No,
MarketingLeads,calculator_data,Text,4000,No,No,
MarketingLeads,score_quality,Int,,Sí,No,0
MarketingLeads,urgency,Var Char,20,Sí,No,
MarketingLeads,salary_target,Int,,No,No,
MarketingLeads,source,Var Char,50,Sí,No,unknown
MarketingLeads,utm_source,Var Char,255,No,No,
MarketingLeads,utm_medium,Var Char,255,No,No,
MarketingLeads,utm_campaign,Var Char,255,No,No,
MarketingLeads,utm_content,Var Char,255,No,No,
MarketingLeads,utm_term,Var Char,255,No,No,
MarketingLeads,status,Var Char,30,Sí,No,new
MarketingLeads,eval_result_id,Var Char,40,No,No,
MarketingLeads,zoho_crm_lead_id,Var Char,40,No,No,
MarketingLeads,created_at,DateTime,,Sí,No,
MarketingLeads,updated_at,DateTime,,Sí,No,
VideoQuestions,application_id,Var Char,40,Sí,No,
VideoQuestions,question_id,Var Char,40,Sí,No,
VideoQuestions,category,Var Char,30,Sí,No,
VideoQuestions,question_text,Text,2000,Sí,No,
VideoQuestions,rationale_internal,Text,1000,No,No,
VideoQuestions,expected_signals,Text,2000,No,No,
VideoQuestions,max_duration_sec,Int,,Sí,No,90
VideoQuestions,created_at,DateTime,,Sí,No,
VideoResponses,application_id,Var Char,40,Sí,No,
VideoResponses,question_id,Var Char,40,Sí,No,
VideoResponses,catalyst_file_id,Var Char,80,No,No,
VideoResponses,file_size_bytes,Int,,No,No,
VideoResponses,duration_sec,Int,,No,No,
VideoResponses,mime_type,Var Char,80,No,No,
